City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,zhanibek,49.4167,46.85,27.67,33,82,2.75,KZ,1724598974
323,ulsteinvik,62.3432,5.8487,13.75,84,100,10.73,NO,1724598975
324,hami,42.8,93.45,33.44,21,8,2.28,CN,1724598976
325,boise,43.6135,-116.2035,13.9,76,0,1.54,US,1724598679
326,tolanaro,-25.0319,46.9987,19.99,66,1,7.76,MG,1724598818
327,cantley,53.5,-1.05,17.51,70,100,7.96,GB,1724598979
328,longquan,24.6719,102.1613,19.74,89,68,1.24,CN,1724598980
329,queenstown,-31.8976,26.8753,20.61,10,6,5.41,ZA,1724598981
330,remire-montjoly,4.9167,-52.2667,32.02,58,40,4.12,GF,1724598472
331,nizhniy ingash,56.2,96.53,15.43,91,100,0.54,RU,1724598983
332,pecos,31.4229,-103.4932,29.05,39,0,3.09,US,1724598900
333,ponta delgada,37.7333,-25.6667,26.4,53,20,3.09,PT,1724598985
334,flin flon,54.7682,-101.865,19.91,88,100,4.12,CA,1724598390
335,santo antonio do ica,-3.1022,-67.9397,36.16,37,0,0.63,BR,1724598987
336,callao,-12.0667,-77.15,21.51,88,100,2.57,PE,1724598962
337,melekeok village,7.4957,134.6367,25.31,94,75,0.0,PW,1724598597
338,port alfred,-33.5906,26.891,18.43,81,60,1.34,ZA,1724598517
339,luanda,-8.8368,13.2343,21.96,77,43,7.01,AO,1724598901
340,kohlu,29.8962,69.252,27.58,48,84,1.72,PK,1724598993
341,fuqing,25.725,119.3794,24.76,97,0,0.76,CN,1724598902
342,bodo,67.28,14.405,15.02,73,40,8.75,NO,1724598959
343,magadan,59.5667,150.8,9.5,89,35,1.59,RU,1724598996
344,belo sur tsiribihina,-19.7,44.55,23.42,79,12,3.13,MG,1724598997
345,peniche,39.3558,-9.3811,20.31,78,10,8.94,PT,1724598998
346,floro,61.5996,5.0328,11.98,87,75,10.29,NO,1724598999
347,kapa'a,22.0752,-159.319,25.18,86,75,8.75,US,1724599000
348,bontang,0.1333,117.5,25.47,89,82,4.77,ID,1724599001
349,ataq,14.5377,46.8319,27.39,56,84,6.04,YE,1724599002
350,coquimbo,-29.9533,-71.3436,13.85,82,75,5.66,CL,1724598318
351,lincoln,40.8,-96.667,31.75,73,0,3.6,US,1724598896
352,nakatsugawa,35.4833,137.5,25.06,96,28,1.26,JP,1724599005
353,acarau,-2.8856,-40.12,32.06,47,10,7.32,BR,1724598592
354,yangirabot,40.0254,65.961,28.43,20,3,7.86,UZ,1724599007
355,vadso,70.0744,29.7487,15.09,63,75,6.17,NO,1724598542
356,kirensk,57.7853,108.1119,15.44,69,71,1.35,RU,1724599009
357,taquara,-29.6506,-50.7806,11.04,68,8,4.58,BR,1724599011
358,nanpara,27.8667,81.5,28.33,80,0,3.17,IN,1724599012
359,tshikapa,-6.4167,20.8,38.25,12,6,1.6,CD,1724599013
360,iitti,60.8949,26.3387,24.06,73,2,5.4,FI,1724599014
361,talakan,50.3167,130.3667,14.59,87,68,2.29,RU,1724599015
362,belyayevka,51.3974,56.4096,17.28,73,98,1.14,RU,1724599016
363,namdrik,5.5994,168.1028,28.02,73,99,0.99,MH,1724599017
364,luena,-11.7833,19.9167,30.39,12,7,3.59,AO,1724599018
